"Sample ID","Original Depth (m)","AP_comp Depth (cm)","Age (kyr)","Sedimentation Rate (cm/kyr)","Dry Bulk Density (g/cm3)","C. wuellerstorfi d18O (‰ vs. PDB)","C. wuellerstorfi d18O (‰ vs. PDB) + 0.64‰","C. wuellerstorfi d13C (‰ vs. PDB)","IRD Concentration (grains/g)","IRD Apparent MAR (grains/cm2/kyr)"
"MD02-2588-659.5",6.595,659.5,227.39,2.601,0.8053,3.71,4.35,0.1,,
"MD02-2588-660.5",6.605,660.5,227.77,2.625,0.8055,3.54,4.18,0.19,5.61,11.8598152360236
"MD02-2588-661.5",6.615,661.5,228.15,2.628,0.8056,3.81,4.45,-0.09,,
"MD02-2588-662.5",6.625,662.5,228.53,2.67,0.8057,3.8,4.44,0.05,16.92,36.4015078437933
"MD02-2588-663.5",6.635,663.5,228.9,2.685,0.8058,3.92,4.56,-0.14,,
"MD02-2588-664.5",6.645,664.5,229.27,2.692,0.8059,4.01,4.65,0.12,28.76,62.3923769483181
"MD02-2588-665.5",6.655,665.5,229.64,2.732,0.8061,3.69,4.33,-0.07,,
"MD02-2588-666.5",6.665,666.5,230,2.74,0.8062,3.59,4.23,0.05,14.09,31.1207502463715
"MD02-2588-667.5",6.675,667.5,230.36,2.759,0.8063,3.68,4.32,0.17,,
"MD02-2588-668.5",6.685,668.5,230.72,2.786,0.8064,3.69,4.33,0.18,7.5,16.8472506789689
"MD02-2588-669.5",6.695,669.5,231.08,2.793,0.8065,3.68,4.32,0.01,,
"MD02-2588-670.5",6.705,670.5,231.44,2.809,0.8067,3.75,4.39,0.15,4.46,10.1059514903091
"MD02-2588-671.5",6.715,671.5,231.79,2.813,0.8068,3.57,4.21,0.22,,
"MD02-2588-672.5",6.725,672.5,232.15,2.789,0.8069,3.53,4.17,0.15,4.67,10.5111449773363
"MD02-2588-673.5",6.735,673.5,232.51,2.778,0.807,3.71,4.35,0.02,,
"MD02-2588-674.5",6.745,674.5,232.87,2.782,0.8071,3.71,4.35,0.08,14.54,32.6450701834495
"MD02-2588-675.5",6.755,675.5,233.23,2.755,0.8073,3.66,4.3,0.28,,
"MD02-2588-676.5",6.765,676.5,233.6,2.732,0.8074,3.53,4.17,0.01,10.84,23.9127714434417
"MD02-2588-677.5",6.775,677.5,233.97,2.717,0.8075,3.59,4.23,-0.16,7.95,17.4447911260193
"MD02-2588-678.5",6.785,678.5,234.34,2.703,0.8076,3.58,4.22,0.09,,
"MD02-2588-679.5",6.795,679.5,234.71,2.677,0.8077,3.58,4.22,0.07,5.71,12.3487027206825
"MD02-2588-680.5",6.805,680.5,235.09,2.635,0.8079,3.25,3.89,0.33,,
"MD02-2588-681.5",6.815,681.5,235.47,2.611,0.808,3.46,4.1,0.34,2.38,5.02091904268917
"MD02-2588-682.5",6.825,682.5,235.86,2.601,0.8081,3.39,4.03,0.21,,
"MD02-2588-683.5",6.835,683.5,236.24,2.584,0.8082,3.41,4.05,0.2,1.7,3.55035701614987
"MD02-2588-684.5",6.845,684.5,236.64,2.554,0.8083,3.31,3.95,0.36,,
"MD02-2588-685.5",6.855,685.5,237.03,2.538,0.8085,3.08,3.72,0.29,,
"MD02-2588-686.5",6.865,686.5,237.43,2.525,0.8086,3.13,3.77,0.39,,
"MD02-2588-687.5",6.875,687.5,237.82,2.545,0.8087,3.1,3.74,0.37,2.4,4.93867366412213
"MD02-2588-688.5",6.885,688.5,238.21,2.574,0.8088,2.98,3.62,0.37,,
"MD02-2588-689.5",6.895,689.5,238.6,2.545,0.8089,3.17,3.81,0.23,,
"MD02-2588-690.5",6.905,690.5,239,2.532,0.8091,3.59,4.23,0.12,,
"MD02-2588-691.5",6.915,691.5,239.39,2.513,0.8092,3.32,3.96,0.35,2.21,4.49322059001261
"MD02-2588-692.5",6.925,692.5,239.8,2.478,0.8093,3.09,3.73,0.38,,
"MD02-2588-693.5",6.935,693.5,240.2,2.475,0.8094,3.09,3.73,0.28,1.68,3.36592670940597
"MD02-2588-694.5",6.945,694.5,240.6,2.475,0.8095,3.31,3.95,-0.07,,
"MD02-2588-695.5",6.955,695.5,241.01,2.466,0.8097,3.25,3.89,0.14,1.73,3.45429971399516
"MD02-2588-696.5",6.965,696.5,241.41,2.484,0.8098,3.7,4.34,0.03,,
"MD02-2588-697.5",6.975,697.5,241.81,2.532,0.8099,3.87,4.51,0.16,,
"MD02-2588-698.5",6.985,698.5,242.2,2.561,0.81,3.39,4.03,0.22,,
"MD02-2588-699.5",6.995,699.5,242.59,2.584,0.8101,3.47,4.11,0.2,3.06,6.40576203372092
"MD02-2588-700.5",7.005,700.5,242.97,2.618,0.8103,3.38,4.02,0.11,,
"MD02-2588-701.5",7.015,701.5,243.34,2.649,0.8104,3.39,4.03,0.2,,
"MD02-2588-702.5",7.025,702.5,243.71,2.71,0.8105,3.82,4.46,0.08,,
"MD02-2588-703.5",7.035,703.5,244.07,2.789,0.8106,3.45,4.09,0.12,3.6,8.14007831799181
"MD02-2588-704.5",7.045,704.5,244.42,2.89,0.8107,3.67,4.31,0.13,,
"MD02-2588-705.5",7.055,705.5,244.76,2.933,0.8109,3.62,4.26,0.07,,
"MD02-2588-706.5",7.065,706.5,245.1,2.959,0.811,4.13,4.77,-0.11,3.77,9.04545951634556
"MD02-2588-707.5",7.075,707.5,245.43,3.021,0.8111,3.91,4.55,0.04,,
"MD02-2588-708.5",7.085,708.5,245.76,3.053,0.8112,3.94,4.58,-0.03,,
"MD02-2588-709.5",7.095,709.5,246.08,3.053,0.8113,3.75,4.39,-0.06,,
"MD02-2588-710.5",7.105,710.5,246.41,3.053,0.8114,3.91,4.55,0.04,4.61,11.4221891524422
"MD02-2588-711.5",7.115,711.5,246.73,3.091,0.8116,3.96,4.6,-0.09,,
"MD02-2588-712.5",7.125,712.5,247.06,3.106,0.8117,4.06,4.7,0.03,4.67,11.771921535326
"MD02-2588-713.5",7.135,713.5,247.38,3.115,0.8118,3.97,4.61,-0.16,,
"MD02-2588-714.5",7.145,714.5,247.7,3.096,0.8119,4.2,4.84,-0.08,6.88,17.2941301684222
"MD02-2588-715.5",7.155,715.5,248.02,3.11,0.812,3.99,4.63,-0.07,,
"MD02-2588-717.5",7.175,717.5,248.66,3.14,0.8123,4.09,4.73,-0.08,7.95,20.2749539540816
"MD02-2588-718.5",7.185,718.5,248.98,3.145,0.8124,4.01,4.65,-0.11,,
"MD02-2588-719.5",7.195,719.5,249.3,3.13,0.8125,4.18,4.82,0.08,16.9,42.9777892433483
"MD02-2588-720.5",7.205,720.5,249.62,3.12,0.8126,4.17,4.81,0.01,,
"MD02-2588-721.5",7.215,721.5,249.93,3.18,0.8127,4.18,4.82,-0.09,11.01,28.4525227466605
"MD02-2588-722.5",7.225,722.5,250.25,3.18,0.8129,4.09,4.73,-0.29,7.76,20.056634483308
"MD02-2588-723.5",7.235,723.5,250.56,3.17,0.813,4.21,4.85,-0.15,10.72,27.6232801153712
"MD02-2588-724.5",7.245,724.5,250.87,3.21,0.8131,4.19,4.83,-0.11,,
"MD02-2588-725.5",7.255,725.5,251.19,3.19,0.8132,4.08,4.72,-0.18,7.77,20.1552806753585
"MD02-2588-726.5",7.265,726.5,251.5,3.16,0.8133,4.22,4.86,0.01,,
"MD02-2588-727.5",7.275,727.5,251.82,3.165,0.8134,4.17,4.81,-0.18,11.62,29.9123000672466
"MD02-2588-728.5",7.285,728.5,252.13,3.195,0.8136,4.06,4.7,0,,
"MD02-2588-729.5",7.295,729.5,252.44,3.205,0.8137,4.26,4.9,0.04,9.28,24.2018947512811
"MD02-2588-730.5",7.305,730.5,252.75,3.221,0.8138,3.95,4.59,0.03,,
"MD02-2588-731.5",7.315,731.5,253.06,3.226,0.8139,3.94,4.58,0.22,4.24,11.1323078251612
"MD02-2588-732.5",7.325,732.5,253.38,3.205,0.814,4,4.64,-0.06,,
"MD02-2588-733.5",7.335,733.5,253.69,3.236,0.8142,4.13,4.77,-0.1,8.28,21.8161341524274
"MD02-2588-734.5",7.345,734.5,253.99,3.263,0.8143,4.11,4.75,-0.02,,
"MD02-2588-735.5",7.355,735.5,254.3,3.247,0.8144,4.15,4.79,-0.09,11.44,30.2486485785721
"MD02-2588-736.5",7.365,736.5,254.61,3.263,0.8145,4.06,4.7,-0.09,,
"MD02-2588-737.5",7.375,737.5,254.91,3.268,0.8146,4.14,4.78,0.1,5.95,15.8398394097216
"MD02-2588-738.5",7.385,738.5,255.22,3.279,0.8147,4.09,4.73,-0.04,,
"MD02-2588-739.5",7.395,739.5,255.52,3.284,0.8149,4.06,4.7,-0.02,11.52,30.8279623566512
"MD02-2588-740.5",7.405,740.5,255.83,3.268,0.815,4.08,4.72,-0.07,,
"MD02-2588-741.5",7.415,741.5,256.13,3.284,0.8151,3.87,4.51,0.02,10.21,27.3301693261888
"MD02-2588-742.5",7.425,742.5,256.44,3.295,0.8152,4.1,4.74,-0.06,,
"MD02-2588-743.5",7.435,743.5,256.74,3.311,0.8153,3.96,4.6,-0.14,10.01,27.0243394778955
"MD02-2588-744.5",7.445,744.5,257.04,3.306,0.8154,4.03,4.67,-0.11,,
"MD02-2588-745.5",7.455,745.5,257.34,3.289,0.8156,4,4.64,-0.04,1.98,5.31182150378336
"MD02-2588-746.5",7.465,746.5,257.64,3.328,0.8157,4.06,4.7,-0.29,,
"MD02-2588-747.5",7.475,747.5,257.95,3.322,0.8158,3.97,4.61,-0.35,17.67,47.8900918168624
"MD02-2588-748.5",7.485,748.5,258.25,3.3,0.8159,3.98,4.62,-0.22,,
"MD02-2588-749.5",7.495,749.5,258.55,3.295,0.816,3.95,4.59,-0.07,25.97,69.8252431473544
"MD02-2588-750.5",7.505,750.5,258.85,3.317,0.8161,4.16,4.8,-0.2,,
"MD02-2588-751.5",7.515,751.5,259.16,3.317,0.8162,,,,58.65,158.782752541057
"MD02-2588-752.5",7.525,752.5,259.46,3.3,0.8164,3.89,4.53,-0.37,,
"MD02-2588-753.5",7.535,753.5,259.76,3.317,0.8165,4.05,4.69,-0.26,47.11,127.57679136676
"MD02-2588-754.5",7.545,754.5,260.06,3.317,0.8166,4.07,4.71,-0.26,,
"MD02-2588-755.5",7.555,755.5,260.36,3.333,0.8167,3.99,4.63,-0.4,47.43,129.122181824245
"MD02-2588-756.5",7.565,756.5,260.66,3.344,0.8168,3.98,4.62,-0.32,,
"MD02-2588-757.5",7.575,757.5,260.96,3.344,0.8169,3.91,4.55,-0.32,55.69,152.159107267988
"MD02-2588-758.5",7.585,758.5,261.26,3.356,0.8171,4.03,4.67,-0.38,,
"MD02-2588-759.5",7.595,759.5,261.55,3.361,0.8172,4.14,4.78,-0.4,97.8,268.637464895786
"MD02-2588-760.5",7.605,760.5,261.85,3.356,0.8173,4.12,4.76,-0.46,,
"MD02-2588-761.5",7.615,761.5,262.15,3.373,0.8174,4.14,4.78,-0.63,88.17,243.071169360977
"MD02-2588-762.5",7.625,762.5,262.45,3.373,0.8175,4.17,4.81,-0.66,,
"MD02-2588-763.5",7.635,763.5,262.74,3.396,0.8176,4.14,4.78,-0.59,119.7,332.329280951582
"MD02-2588-764.5",7.645,764.5,263.03,3.396,0.8178,4.12,4.76,-0.61,,
"MD02-2588-765.5",7.655,765.5,263.33,3.373,0.8179,4.1,4.74,-0.6,127.29,351.116818641861
"MD02-2588-766.5",7.665,766.5,263.63,3.378,0.818,4.19,4.83,-0.65,,
"MD02-2588-767.5",7.675,767.5,263.92,3.361,0.8181,4.17,4.81,-0.6,108.02,297.044402239482
"MD02-2588-768.5",7.685,768.5,264.22,3.344,0.8182,4.23,4.87,-0.6,,
"MD02-2588-769.5",7.695,769.5,264.52,3.35,0.8183,4.24,4.88,-0.44,43.72,119.856599343723
"MD02-2588-770.5",7.705,770.5,264.82,3.378,0.8184,4.19,4.83,-0.62,,
"MD02-2588-771.5",7.715,771.5,265.11,3.401,0.8186,4.12,4.76,-0.51,17.95,49.9764103005885
"MD02-2588-772.5",7.725,772.5,265.41,3.396,0.8187,4.16,4.8,-0.52,,
"MD02-2588-773.5",7.735,773.5,265.7,3.384,0.8188,4.27,4.91,-0.5,21.06,58.3539768137048
"MD02-2588-774.5",7.745,774.5,266,3.367,0.8189,4.2,4.84,-0.49,,
"MD02-2588-775.5",7.755,775.5,266.3,3.35,0.819,4.24,4.88,-0.49,35.3,96.8548619271389
"MD02-2588-776.5",7.765,776.5,266.6,3.322,0.8191,4.29,4.93,-0.46,,
"MD02-2588-777.5",7.775,777.5,266.9,3.306,0.8192,3.93,4.57,-0.2,46.61,126.231022101236
"MD02-2588-778.5",7.785,778.5,267.2,3.3,0.8194,4.23,4.87,-0.42,,
"MD02-2588-779.5",7.795,779.5,267.51,3.311,0.8195,4.15,4.79,-0.45,38.72,105.065936945708
"MD02-2588-780.5",7.805,780.5,267.81,3.317,0.8196,3.86,4.5,-0.25,,
"MD02-2588-781.5",7.815,781.5,268.11,3.295,0.8197,4.25,4.89,-0.3,22.76,61.470690384517
"MD02-2588-782.5",7.825,782.5,268.41,3.295,0.8198,4.16,4.8,-0.42,,
"MD02-2588-783.5",7.835,783.5,268.72,3.328,0.8199,4.12,4.76,-0.34,16.97,46.3033838020799
"MD02-2588-784.5",7.845,784.5,269.02,3.333,0.82,4.19,4.83,-0.38,,
"MD02-2588-785.5",7.855,785.5,269.32,3.311,0.8202,4.22,4.86,-0.29,11.11,30.171934399584
"MD02-2588-786.5",7.865,786.5,269.62,3.284,0.8203,4.14,4.78,-0.33,,
"MD02-2588-787.5",7.875,787.5,269.93,3.279,0.8204,4.14,4.78,-0.27,10.25,27.5702420594308
"MD02-2588-788.5",7.885,788.5,270.23,3.257,0.8205,4.08,4.72,-0.19,,
"MD02-2588-789.5",7.895,789.5,270.54,3.231,0.8206,4.2,4.84,-0.34,19.45,51.5698489309346
"MD02-2588-790.5",7.905,790.5,270.85,3.273,0.8207,4.14,4.78,-0.3,,
"MD02-2588-791.5",7.915,791.5,271.15,3.273,0.8208,4.15,4.79,-0.31,,
"MD02-2588-792.5",7.925,792.5,271.46,3.263,0.821,4.05,4.69,-0.64,,
"MD02-2588-793.5",7.935,793.5,271.77,3.257,0.8211,3.99,4.63,-0.27,21.98,58.7849896754149
"MD02-2588-794.5",7.945,794.5,272.08,3.241,0.8212,4.1,4.74,-0.15,,
"MD02-2588-795.5",7.955,795.5,272.39,3.236,0.8213,4.04,4.68,-0.41,24.34,64.6932696551845
"MD02-2588-796.5",7.965,796.5,272.69,3.252,0.8214,4.1,4.74,-0.2,14.17,37.8513709187799
"MD02-2588-797.5",7.975,797.5,273,3.279,0.8215,4.05,4.69,-0.11,15.45,41.6145655020483
"MD02-2588-798.5",7.985,798.5,273.3,3.263,0.8216,4,4.64,-0.27,,
"MD02-2588-799.5",7.995,799.5,273.61,3.252,0.8217,3.96,4.6,-0.09,13.77,36.7980744446336
"MD02-2588-800.5",8.005,800.5,273.92,3.257,0.8219,3.86,4.5,0.04,,
"MD02-2588-801.5",8.015,801.5,274.23,3.247,0.822,3.89,4.53,-0.15,8.73,23.2980296939129
"MD02-2588-802.5",8.025,802.5,274.54,3.226,0.8221,3.89,4.53,0.11,,
"MD02-2588-803.5",8.035,803.5,274.85,3.226,0.8222,4.04,4.68,-0.05,12.55,33.2856416544352
"MD02-2588-804.5",8.045,804.5,275.16,3.215,0.8223,4.03,4.67,0.03,,
"MD02-2588-805.5",8.055,805.5,275.47,3.21,0.8224,3.71,4.35,0.13,10.61,28.0124638408537
"MD02-2588-806.5",8.065,806.5,275.78,3.205,0.8225,3.85,4.49,0.11,,
"MD02-2588-807.5",8.075,807.5,276.09,3.2,0.8226,4.16,4.8,0.09,7.8,20.53323948
"MD02-2588-808.5",8.085,808.5,276.4,3.221,0.8228,4.18,4.82,0.11,,
"MD02-2588-809.5",8.095,809.5,276.71,3.226,0.8229,3.86,4.5,0.19,3.54,9.39665356596767
"MD02-2588-810.5",8.105,810.5,277.03,3.205,0.823,3.99,4.63,0.04,,
"MD02-2588-811.5",8.115,811.5,277.34,3.18,0.8231,3.8,4.44,0.24,12,31.4058708744029
"MD02-2588-812.5",8.125,812.5,277.65,3.2,0.8232,3.98,4.62,-0.01,,
"MD02-2588-813.5",8.135,813.5,277.97,3.195,0.8233,3.64,4.28,0.18,3.25,8.54885017771598
"MD02-2588-814.5",8.145,814.5,278.28,3.17,0.8234,3.51,4.15,0.27,,
"MD02-2588-815.5",8.155,815.5,278.6,3.175,0.8235,3.66,4.3,0.17,2.22,5.804026442381
"MD02-2588-816.5",8.165,816.5,278.91,3.175,0.8237,3.46,4.1,0.44,,
"MD02-2588-817.5",8.175,817.5,279.23,3.165,0.8238,3.54,4.18,0.16,1.16,3.02395962816426
"MD02-2588-818.5",8.185,818.5,279.54,3.18,0.8239,3.41,4.05,0.28,,
"MD02-2588-819.5",8.195,819.5,279.85,3.2,0.824,3.38,4.02,0.39,1.55,4.0870007788
"MD02-2588-820.5",8.205,820.5,280.17,3.175,0.8241,3.5,4.14,0.38,,
"MD02-2588-821.5",8.215,821.5,280.49,3.135,0.8242,3.5,4.14,0.29,1.67,4.31485926732029
"MD02-2588-822.5",8.225,822.5,280.81,3.13,0.8243,3.42,4.06,0.1,,
"MD02-2588-823.5",8.235,823.5,281.13,3.135,0.8244,3.3,3.94,0.28,2.4,6.20267535423165
"MD02-2588-824.5",8.245,824.5,281.45,3.125,0.8246,3.31,3.95,0.24,,
"MD02-2588-825.5",8.255,825.5,281.77,3.12,0.8247,3.43,4.07,0.34,1.38,3.55080670717649
"MD02-2588-826.5",8.265,826.5,282.09,3.135,0.8248,3.38,4.02,0,,
"MD02-2588-827.5",8.275,827.5,282.4,3.145,0.8249,3.44,4.08,0.45,1.07,2.7755558156448
"MD02-2588-828.5",8.285,828.5,282.73,3.11,0.825,3.28,3.92,0.41,,
"MD02-2588-829.5",8.295,829.5,283.05,3.13,0.8251,3.32,3.96,0.24,,
"MD02-2588-830.5",8.305,830.5,283.37,3.11,0.8252,3.4,4.04,0.4,,
"MD02-2588-831.5",8.315,831.5,283.69,3.086,0.8253,3.4,4.04,0.24,0.77,1.96143177168237
"MD02-2588-832.5",8.325,832.5,284.01,3.13,0.8254,3.35,3.99,0.17,,
"MD02-2588-833.5",8.335,833.5,284.33,3.11,0.8256,3.33,3.97,0.25,,
"MD02-2588-834.5",8.345,834.5,284.66,3.086,0.8257,3.33,3.97,0.1,,
"MD02-2588-835.5",8.355,835.5,284.98,3.106,0.8258,3.51,4.15,-0.06,1.53,3.92370729666146
"MD02-2588-836.5",8.365,836.5,285.3,3.115,0.8259,3.54,4.18,0.09,,
"MD02-2588-837.5",8.375,837.5,285.62,3.106,0.826,3.36,4,0.19,1.01,2.59085486218942
"MD02-2588-838.5",8.385,838.5,285.94,3.135,0.8261,3.35,3.99,0.2,,
"MD02-2588-839.5",8.395,839.5,286.26,3.14,0.8262,3.45,4.09,-0.02,4.51,11.6993321292768
"MD02-2588-840.5",8.405,840.5,286.58,3.145,0.8263,3.31,3.95,0.14,,
"MD02-2588-841.5",8.415,841.5,286.89,3.17,0.8264,3.42,4.06,0.18,1.9,4.97696317511908
"MD02-2588-842.5",8.425,842.5,287.21,3.19,0.8265,3.75,4.39,-0.27,,
"MD02-2588-843.5",8.435,843.5,287.51,3.257,0.8267,3.47,4.11,0.02,6.29,16.9370795681587
"MD02-2588-844.5",8.445,844.5,287.82,3.306,0.8268,3.57,4.21,-0.13,,
"MD02-2588-845.5",8.455,845.5,288.11,3.35,0.8269,3.54,4.18,-0.06,7.57,20.9697721984094
"MD02-2588-846.5",8.465,846.5,288.41,3.407,0.827,3.54,4.18,-0.09,,
"MD02-2588-847.5",8.475,847.5,288.7,3.425,0.8271,3.55,4.19,-0.07,6.41,18.1565404045358
"MD02-2588-848.5",8.485,848.5,288.99,3.425,0.8272,3.66,4.3,0.04,,
"MD02-2588-849.5",8.495,849.5,289.28,3.454,0.8273,3.76,4.4,-0.21,14.53,41.5231761347968
"MD02-2588-850.5",8.505,850.5,289.57,3.503,0.8274,3.84,4.48,-0.2,,
"MD02-2588-851.5",8.515,851.5,289.85,3.527,0.8275,3.67,4.31,-0.09,21.41,62.4960492233678
"MD02-2588-852.5",8.525,852.5,290.13,3.534,0.8276,3.75,4.39,-0.13,,
"MD02-2588-853.5",8.535,853.5,290.42,3.534,0.8278,3.75,4.39,-0.17,51.59,150.897948553614
"MD02-2588-854.5",8.545,854.5,290.7,3.49,0.8279,3.77,4.41,-0.21,,
"MD02-2588-855.5",8.555,855.5,290.99,3.503,0.828,3.9,4.54,-0.08,53.16,154.169417013303
"MD02-2588-857.5",8.575,857.5,291.55,3.54,0.8282,3.87,4.51,-0.16,,
"MD02-2588-858.5",8.585,858.5,291.83,3.584,0.8283,3.88,4.52,-0.32,35.07,104.117403891668
"MD02-2588-859.5",8.595,859.5,292.11,3.559,0.8284,3.82,4.46,-0.33,12.72,37.4998859807821
"MD02-2588-860.5",8.605,860.5,292.39,3.584,0.8285,3.85,4.49,-0.26,,
"MD02-2588-861.5",8.615,861.5,292.67,3.61,0.8286,3.88,4.52,-0.14,26.65,79.7225641376392
"MD02-2588-862.5",8.625,862.5,292.95,3.597,0.8287,3.82,4.46,-0.16,,
"MD02-2588-863.5",8.635,863.5,293.23,3.591,0.8289,3.89,4.53,-0.15,7.97,23.7198227074499
"MD02-2588-864.5",8.645,864.5,293.5,3.591,0.829,3.9,4.54,-0.03,,
"MD02-2588-865.5",8.655,865.5,293.78,3.571,0.8291,3.83,4.47,-0.11,3.92,11.6070190949988
"MD02-2588-866.5",8.665,866.5,294.06,3.584,0.8292,3.91,4.55,-0.07,,
"MD02-2588-867.5",8.675,867.5,294.34,3.623,0.8293,3.83,4.47,-0.23,5.41,16.2553017957421
"MD02-2588-868.5",8.685,868.5,294.61,3.623,0.8294,3.89,4.53,-0.06,,
"MD02-2588-869.5",8.695,869.5,294.89,3.65,0.8295,3.71,4.35,-0.25,6.96,21.0707292109488
"MD02-2588-870.5",8.705,870.5,295.16,3.623,0.8296,3.97,4.61,-0.26,,
"MD02-2588-871.5",8.715,871.5,295.44,3.617,0.8297,3.86,4.5,-0.31,9.53,28.5977940062388
"MD02-2588-872.5",8.725,872.5,295.71,3.656,0.8298,3.94,4.58,-0.32,,
"MD02-2588-873.5",8.735,873.5,295.99,3.643,0.8299,3.92,4.56,-0.02,15.77,47.6801746102933
"MD02-2588-874.5",8.745,874.5,296.26,3.656,0.8301,3.97,4.61,-0.18,,
"MD02-2588-875.5",8.755,875.5,296.53,3.683,0.8302,4.01,4.65,-0.19,21.34,65.2509204786364
"MD02-2588-876.5",8.765,876.5,296.8,3.704,0.8303,3.68,4.32,0.06,,
"MD02-2588-877.5",8.775,877.5,297.08,3.683,0.8304,3.89,4.53,0.01,31.03,94.9046335428166
"MD02-2588-878.5",8.785,878.5,297.35,3.697,0.8305,3.92,4.56,-0.05,,
"MD02-2588-879.5",8.795,879.5,297.62,3.711,0.8306,4.01,4.65,0.22,36.75,113.26280352273
"MD02-2588-880.5",8.805,880.5,297.89,3.69,0.8307,3.92,4.56,-0.03,,
"MD02-2588-881.5",8.815,881.5,298.15,3.738,0.8308,3.93,4.57,0.02,28.3,87.8950638495379
"MD02-2588-882.5",8.825,882.5,298.42,3.752,0.8309,3.93,4.57,0.18,,
"MD02-2588-883.5",8.835,883.5,298.69,3.738,0.831,3.87,4.51,0.05,43.25,134.362201422905
"MD02-2588-884.5",8.845,884.5,298.95,3.774,0.8311,3.92,4.56,0.22,,
"MD02-2588-885.5",8.855,885.5,299.22,3.774,0.8312,3.93,4.57,0.01,62.55,196.204525059874
"MD02-2588-886.5",8.865,886.5,299.48,3.752,0.8314,3.89,4.53,0.03,,
"MD02-2588-887.5",8.875,887.5,299.75,3.752,0.8315,3.96,4.6,0.07,22.85,71.2900976196192
"MD02-2588-888.5",8.885,888.5,300.02,3.745,0.8316,3.86,4.5,0.02,,
"MD02-2588-889.5",8.895,889.5,300.28,3.759,0.8317,3.93,4.57,0.27,84.66,264.697189763326
"MD02-2588-890.5",8.905,890.5,300.55,3.766,0.8318,3.87,4.51,0.23,,
"MD02-2588-891.5",8.915,891.5,300.82,3.766,0.8319,3.69,4.33,0.21,9.69,30.361574169212
"MD02-2588-892.5",8.925,892.5,301.08,3.759,0.832,3.89,4.53,0.12,,
"MD02-2588-893.5",8.935,893.5,301.35,3.731,0.8321,,,,,
"MD02-2588-894.5",8.945,894.5,301.62,3.731,0.8322,3.89,4.53,0.12,,
"MD02-2588-895.5",8.955,895.5,301.89,3.731,0.8323,3.69,4.33,0.18,4.85,15.0624693232292
"MD02-2588-896.5",8.965,896.5,302.15,3.738,0.8324,3.77,4.41,0.18,,
"MD02-2588-897.5",8.975,897.5,302.42,3.774,0.8325,3.63,4.27,0.27,0.75,2.35622352594301
"MD02-2588-898.5",8.985,898.5,302.68,3.795,0.8326,3.58,4.22,0.24,,
"MD02-2588-899.5",8.995,899.5,302.95,3.766,0.8327,3.65,4.29,0.16,0.77,2.41512165433117
"MD02-2588-900.5",9.005,900.5,303.21,3.745,0.8329,3.61,4.25,0.05,,
"MD02-2588-901.5",9.015,901.5,303.48,3.759,0.833,3.7,4.34,0.33,1.94,6.07497458289559
"MD02-2588-902.5",9.025,902.5,303.75,3.766,0.8331,3.61,4.25,0.18,,
"MD02-2588-903.5",9.035,903.5,304.01,3.774,0.8332,3.56,4.2,0.42,0.73,2.29515893103785
"MD02-2588-904.5",9.045,904.5,304.28,3.766,0.8333,3.51,4.15,0.21,,
"MD02-2588-905.5",9.055,905.5,304.54,3.802,0.8334,3.43,4.07,0.34,1.62,5.13341406787118
"MD02-2588-906.5",9.065,906.5,304.8,3.824,0.8335,3.59,4.23,0.05,,
"MD02-2588-907.5",9.075,907.5,305.07,3.774,0.8336,3.5,4.14,0.12,5.69,17.8988249929255
"MD02-2588-908.5",9.085,908.5,305.33,3.795,0.8337,3.51,4.15,0.24,,
"MD02-2588-909.5",9.095,909.5,305.59,3.81,0.8338,3.5,4.14,0.28,,
"MD02-2588-910.5",9.105,910.5,305.86,3.766,0.8339,3.5,4.14,0.17,,
"MD02-2588-911.5",9.115,911.5,306.12,3.745,0.834,3.57,4.21,0.12,,
"MD02-2588-912.5",9.125,912.5,306.39,3.766,0.8341,3.39,4.03,0.25,1.87,5.87505973399177
"MD02-2588-913.5",9.135,913.5,306.65,3.774,0.8342,3.37,4.01,0.14,,
"MD02-2588-914.5",9.145,914.5,306.92,3.795,0.8343,3.42,4.06,0.17,3.77,11.9373107238131
"MD02-2588-915.5",9.155,915.5,307.18,3.802,0.8345,3.46,4.1,-0.05,,
"MD02-2588-916.5",9.165,916.5,307.45,3.759,0.8346,3.53,4.17,0.11,4.04,12.6752316665404
"MD02-2588-917.5",9.175,917.5,307.71,3.774,0.8347,3.5,4.14,0.03,,
"MD02-2588-918.5",9.185,918.5,307.97,3.817,0.8348,3.56,4.2,-0.09,2.85,9.08050501001907
"MD02-2588-919.5",9.195,919.5,308.24,3.802,0.8349,3.6,4.24,0.24,,
"MD02-2588-920.5",9.205,920.5,308.5,3.795,0.835,3.65,4.29,0.04,2.72,8.61915759999929
"MD02-2588-921.5",9.215,921.5,308.76,3.802,0.8351,3.61,4.25,0.17,,
"MD02-2588-922.5",9.225,922.5,309.03,3.802,0.8352,3.65,4.29,0.28,5.05,16.0369626544656
"MD02-2588-923.5",9.235,923.5,309.29,3.802,0.8353,3.63,4.27,0.1,,
"MD02-2588-924.5",9.245,924.5,309.55,3.802,0.8354,3.69,4.33,0.3,3.88,12.3245838437247
"MD02-2588-925.5",9.255,925.5,309.81,3.824,0.8355,3.6,4.24,0.15,,
"MD02-2588-926.5",9.265,926.5,310.08,3.824,0.8356,3.5,4.14,0.24,2.66,8.49994030764779
